




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2017-11-28
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (591)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
RNA processing (GO:0006396)	884	202	24.83	+	8.14	3.24E-115	5.02E-111
nucleic acid metabolic process (GO:0090304)	3977	339	111.70	+	3.03	7.38E-92	5.71E-88
cellular macromolecule metabolic process (GO:0044260)	7005	440	196.75	+	2.24	3.58E-90	1.85E-86
ribonucleoprotein complex biogenesis (GO:0022613)	468	138	13.14	+	10.50	2.03E-88	7.87E-85
gene expression (GO:0010467)	3754	322	105.44	+	3.05	4.54E-86	1.41E-82
nucleobase-containing compound metabolic process (GO:0006139)	4537	351	127.43	+	2.75	5.30E-85	1.37E-81
cellular nitrogen compound metabolic process (GO:0034641)	5163	373	145.01	+	2.57	1.41E-84	3.13E-81
heterocycle metabolic process (GO:0046483)	4714	352	132.40	+	2.66	3.58E-81	6.94E-78
ncRNA metabolic process (GO:0034660)	560	139	15.73	+	8.84	9.84E-81	1.69E-77
cellular aromatic compound metabolic process (GO:0006725)	4750	351	133.41	+	2.63	1.34E-79	2.08E-76
macromolecule metabolic process (GO:0043170)	7697	445	216.18	+	2.06	2.66E-79	3.75E-76
organic cyclic compound metabolic process (GO:1901360)	4974	353	139.70	+	2.53	1.49E-75	1.93E-72
mRNA metabolic process (GO:0016071)	668	138	18.76	+	7.36	2.88E-71	3.43E-68
cellular metabolic process (GO:0044237)	9010	468	253.06	+	1.85	7.50E-71	8.30E-68
nitrogen compound metabolic process (GO:0006807)	8558	456	240.37	+	1.90	9.01E-71	8.73E-68
RNA metabolic process (GO:0016070)	3447	287	96.81	+	2.96	8.85E-71	9.14E-68
ribosome biogenesis (GO:0042254)	333	104	9.35	+	11.12	6.41E-68	5.85E-65
ncRNA processing (GO:0034470)	400	107	11.23	+	9.52	3.41E-64	2.94E-61
primary metabolic process (GO:0044238)	9078	457	254.97	+	1.79	1.36E-62	1.11E-59
rRNA metabolic process (GO:0016072)	285	92	8.00	+	11.49	5.81E-61	4.50E-58
organic substance metabolic process (GO:0071704)	9438	460	265.08	+	1.74	1.78E-58	1.31E-55
metabolic process (GO:0008152)	9872	470	277.27	+	1.70	4.73E-58	3.33E-55
cellular component biogenesis (GO:0044085)	2598	230	72.97	+	3.15	7.05E-58	4.75E-55
rRNA processing (GO:0006364)	259	86	7.27	+	11.82	9.21E-58	5.95E-55
mRNA processing (GO:0006397)	456	102	12.81	+	7.96	8.85E-55	5.48E-52
mitotic cell cycle (GO:0000278)	703	115	19.74	+	5.82	1.35E-49	8.05E-47
cellular component organization or biogenesis (GO:0071840)	5521	328	155.07	+	2.12	1.88E-49	1.08E-46
RNA splicing (GO:0008380)	393	89	11.04	+	8.06	4.85E-48	2.68E-45
cell cycle (GO:0007049)	1355	151	38.06	+	3.97	1.12E-46	5.97E-44
mitotic cell cycle process (GO:1903047)	647	106	18.17	+	5.83	1.25E-45	6.44E-43
cell cycle process (GO:0022402)	1023	130	28.73	+	4.52	2.53E-45	1.26E-42
RNA splicing, via transesterification reactions (GO:0000375)	288	76	8.09	+	9.40	5.52E-45	2.67E-42
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	285	75	8.00	+	9.37	2.55E-44	1.16E-41
mRNA splicing, via spliceosome (GO:0000398)	285	75	8.00	+	9.37	2.55E-44	1.20E-41
cellular process (GO:0009987)	14968	554	420.40	+	1.32	1.48E-42	6.56E-40
cellular macromolecule biosynthetic process (GO:0034645)	3672	241	103.13	+	2.34	4.75E-39	2.04E-36
macromolecule biosynthetic process (GO:0009059)	3738	241	104.99	+	2.30	8.44E-38	3.53E-35
DNA-templated transcription, termination (GO:0006353)	108	44	3.03	+	14.51	8.00E-33	3.26E-30
biological_process (GO:0008150)	17366	579	487.75	+	1.19	9.11E-33	3.53E-30
Unclassified (UNCLASSIFIED)	3676	12	103.25	-	.12	9.11E-33	3.62E-30
posttranscriptional regulation of gene expression (GO:0010608)	531	78	14.91	+	5.23	1.44E-30	5.30E-28
RNA localization (GO:0006403)	222	54	6.24	+	8.66	1.42E-30	5.35E-28
cellular biosynthetic process (GO:0044249)	4666	259	131.05	+	1.98	1.76E-30	6.19E-28
DNA metabolic process (GO:0006259)	787	94	22.10	+	4.25	1.75E-30	6.32E-28
biosynthetic process (GO:0009058)	4826	263	135.55	+	1.94	5.91E-30	2.03E-27
RNA 3'-end processing (GO:0031123)	107	41	3.01	+	13.64	8.27E-30	2.78E-27
regulation of cell cycle (GO:0051726)	1132	111	31.79	+	3.49	3.49E-29	1.15E-26
regulation of cell cycle process (GO:0010564)	678	85	19.04	+	4.46	7.09E-29	2.29E-26
intracellular protein transport (GO:0006886)	818	93	22.97	+	4.05	1.11E-28	3.52E-26
ribonucleoprotein complex localization (GO:0071166)	128	42	3.60	+	11.68	2.67E-28	8.28E-26
cellular nitrogen compound biosynthetic process (GO:0044271)	3467	210	97.38	+	2.16	3.04E-28	9.23E-26
ribonucleoprotein complex assembly (GO:0022618)	208	50	5.84	+	8.56	3.59E-28	1.07E-25
ribonucleoprotein complex export from nucleus (GO:0071426)	126	41	3.54	+	11.59	1.56E-27	4.55E-25
organic substance biosynthetic process (GO:1901576)	4758	255	133.64	+	1.91	1.71E-27	4.92E-25
RNA export from nucleus (GO:0006405)	137	42	3.85	+	10.92	2.52E-27	7.10E-25
protein export from nucleus (GO:0006611)	148	43	4.16	+	10.34	3.68E-27	1.02E-24
ribonucleoprotein complex subunit organization (GO:0071826)	221	50	6.21	+	8.06	3.93E-27	1.07E-24
chromosome organization (GO:0051276)	1036	102	29.10	+	3.51	6.97E-27	1.86E-24
DNA replication (GO:0006260)	214	49	6.01	+	8.15	8.27E-27	2.17E-24
regulation of mitotic cell cycle (GO:0007346)	651	80	18.28	+	4.38	1.16E-26	2.99E-24
nucleocytoplasmic transport (GO:0006913)	287	55	8.06	+	6.82	1.22E-26	3.10E-24
nuclear transport (GO:0051169)	293	55	8.23	+	6.68	2.98E-26	7.44E-24
cellular macromolecular complex assembly (GO:0034622)	817	89	22.95	+	3.88	3.14E-26	7.72E-24
regulation of mitotic cell cycle phase transition (GO:1901990)	404	63	11.35	+	5.55	5.02E-26	1.22E-23
nuclear export (GO:0051168)	164	43	4.61	+	9.34	1.20E-25	2.81E-23
translation (GO:0006412)	383	61	10.76	+	5.67	1.19E-25	2.83E-23
regulation of mRNA metabolic process (GO:1903311)	279	53	7.84	+	6.76	1.52E-25	3.52E-23
cellular macromolecule localization (GO:0070727)	1347	115	37.83	+	3.04	1.95E-25	4.45E-23
mRNA-containing ribonucleoprotein complex export from nucleus (GO:0071427)	107	36	3.01	+	11.98	1.00E-24	2.22E-22
regulation of cell cycle phase transition (GO:1901987)	430	63	12.08	+	5.22	1.02E-24	2.23E-22
mRNA export from nucleus (GO:0006406)	107	36	3.01	+	11.98	1.00E-24	2.25E-22
nucleic acid transport (GO:0050657)	199	45	5.59	+	8.05	1.65E-24	3.50E-22
RNA transport (GO:0050658)	199	45	5.59	+	8.05	1.65E-24	3.55E-22
mRNA 3'-end processing (GO:0031124)	77	32	2.16	+	14.80	2.15E-24	4.50E-22
cellular macromolecule catabolic process (GO:0044265)	855	88	24.01	+	3.66	2.28E-24	4.70E-22
establishment of RNA localization (GO:0051236)	201	45	5.65	+	7.97	2.35E-24	4.79E-22
peptide biosynthetic process (GO:0043043)	410	61	11.52	+	5.30	2.89E-24	5.81E-22
chromosome segregation (GO:0007059)	302	53	8.48	+	6.25	4.03E-24	7.90E-22
cellular protein localization (GO:0034613)	1337	112	37.55	+	2.98	4.02E-24	7.98E-22
intracellular transport (GO:0046907)	1410	115	39.60	+	2.90	6.86E-24	1.33E-21
RNA phosphodiester bond hydrolysis (GO:0090501)	144	39	4.04	+	9.64	8.47E-24	1.62E-21
nucleic acid phosphodiester bond hydrolysis (GO:0090305)	286	51	8.03	+	6.35	1.61E-23	3.03E-21
cellular localization (GO:0051641)	2178	148	61.17	+	2.42	1.98E-23	3.70E-21
termination of RNA polymerase II transcription (GO:0006369)	69	30	1.94	+	15.48	2.13E-23	3.92E-21
tRNA metabolic process (GO:0006399)	185	42	5.20	+	8.08	5.27E-23	9.61E-21
