"","x"
"1","AAMP"
"2","AASDHPPT"
"3","ACTL6A"
"4","AFG3L2"
"5","AKIRIN2"
"6","ALDOA"
"7","ALG11"
"8","ALG14"
"9","ALG2"
"10","ALYREF"
"11","ANAPC4"
"12","ANAPC5"
"13","AQR"
"14","ARCN1"
"15","ARL2"
"16","ARMC7"
"17","ATP2A2"
"18","ATP5A1"
"19","ATP5B"
"20","ATP6V0B"
"21","ATP6V0C"
"22","ATP6V1A"
"23","ATP6V1D"
"24","ATRIP"
"25","BIRC5"
"26","BORA"
"27","BRF1"
"28","BRIX1"
"29","BUB1B"
"30","BUB3"
"31","BUD31"
"32","BYSL"
"33","C15orf41"
"34","C3orf17"
"35","C9orf114"
"36","CARS"
"37","CASC5"
"38","CCDC130"
"39","CCDC84"
"40","CCDC94"
"41","CCNA2"
"42","CCT2"
"43","CCT3"
"44","CCT4"
"45","CCT6A"
"46","CCT7"
"47","CD3EAP"
"48","CDC123"
"49","CDC16"
"50","CDC20"
"51","CDC5L"
"52","CDC6"
"53","CDC73"
"54","CDK9"
"55","CDT1"
"56","CEBPZ"
"57","CENPA"
"58","CENPM"
"59","CENPW"
"60","CEP192"
"61","CHAF1A"
"62","CHAF1B"
"63","CHEK1"
"64","CHMP2A"
"65","CHMP6"
"66","CIAO1"
"67","CINP"
"68","CIRH1A"
"69","CKAP5"
"70","CLP1"
"71","CLTC"
"72","COG8"
"73","COPA"
"74","COPB1"
"75","COPB2"
"76","COPS3"
"77","COPS6"
"78","COPZ1"
"79","CPSF2"
"80","CPSF3"
"81","CPSF6"
"82","CRNKL1"
"83","CSE1L"
"84","CSTF1"
"85","CSTF3"
"86","CTCF"
"87","CTU2"
"88","DAD1"
"89","DARS"
"90","DBR1"
"91","DCTN2"
"92","DCTN5"
"93","DDB1"
"94","DDOST"
"95","DDX18"
"96","DDX20"
"97","DDX21"
"98","DDX23"
"99","DDX24"
"100","DDX39B"
"101","DDX46"
"102","DDX47"
"103","DDX49"
"104","DDX51"
"105","DDX52"
"106","DDX54"
"107","DDX56"
"108","DGCR8"
"109","DHDDS"
"110","DHX15"
"111","DHX33"
"112","DHX38"
"113","DHX8"
"114","DIEXF"
"115","DIMT1"
"116","DIS3"
"117","DKC1"
"118","DNAJA3"
"119","DNAJC9"
"120","DNMT1"
"121","DNTTIP2"
"122","DONSON"
"123","DTL"
"124","DYNC1H1"
"125","ECD"
"126","ECT2"
"127","EEF2"
"128","EFTUD2"
"129","EIF1"
"130","EIF1AD"
"131","EIF2B1"
"132","EIF2B2"
"133","EIF2B3"
"134","EIF2B5"
"135","EIF2S1"
"136","EIF3A"
"137","EIF3B"
"138","EIF3I"
"139","EIF4A1"
"140","EIF4A3"
"141","EIF5B"
"142","EIF6"
"143","ELAC2"
"144","ELP5"
"145","ELP6"
"146","ERCC2"
"147","ERCC3"
"148","EXOSC10"
"149","EXOSC2"
"150","EXOSC3"
"151","EXOSC7"
"152","EXOSC8"
"153","EXOSC9"
"154","FAM96B"
"155","FARSA"
"156","FARSB"
"157","FEN1"
"158","FIP1L1"
"159","FNBP4"
"160","FNTB"
"161","FTSJ3"
"162","GBF1"
"163","GEMIN5"
"164","GFER"
"165","GGPS1"
"166","GINS2"
"167","GINS3"
"168","GLE1"
"169","GNB2L1"
"170","GNL2"
"171","GNL3"
"172","GPKOW"
"173","GPN3"
"174","GRPEL1"
"175","GRWD1"
"176","GSPT1"
"177","GTF2B"
"178","GTF3C1"
"179","GTF3C3"
"180","GTPBP4"
"181","GUK1"
"182","HAUS3"
"183","HAUS4"
"184","HAUS5"
"185","HAUS8"
"186","HEATR1"
"187","HINFP"
"188","HJURP"
"189","HNRNPK"
"190","HNRNPU"
"191","HSCB"
"192","HSPA9"
"193","IARS"
"194","IKBKAP"
"195","ILF2"
"196","IMP4"
"197","INCENP"
"198","INTS3"
"199","INTS7"
"200","ISCU"
"201","ISG20L2"
"202","KANSL1"
"203","KANSL2"
"204","KANSL3"
"205","KARS"
"206","KIAA0947"
"207","KIF11"
"208","KIN"
"209","KPNB1"
"210","KRI1"
"211","LARS"
"212","LAS1L"
"213","LRR1"
"214","LSM11"
"215","LTV1"
"216","LUC7L3"
"217","MARS"
"218","MASTL"
"219","MCM3"
"220","MCM5"
"221","MCM6"
"222","MCM7"
"223","MCMBP"
"224","MDN1"
"225","MED17"
"226","MED20"
"227","MED27"
"228","METTL16"
"229","MFAP1"
"230","MFN2"
"231","MIS18BP1"
"232","MMS19"
"233","MMS22L"
"234","MPHOSPH10"
"235","MRPL20"
"236","MRPL39"
"237","MRPL9"
"238","MRPS18B"
"239","MRPS6"
"240","MYBBP1A"
"241","N6AMT1"
"242","NAA10"
"243","NAA15"
"244","NAA25"
"245","NAA50"
"246","NAE1"
"247","NAF1"
"248","NAPA"
"249","NARFL"
"250","NARS"
"251","NAT10"
"252","NCAPD2"
"253","NCAPH"
"254","NCBP1"
"255","NCBP2"
"256","NCL"
"257","NDC80"
"258","NDUFAB1"
