"","x"
"1","A1BG"
"2","A1CF"
"3","A2M"
"4","A2ML1"
"5","A4GALT"
"6","A4GNT"
"7","AAAS"
"8","AACS"
"9","AADAC"
"10","AADACL2"
"11","AADACL3"
"12","AADACL4"
"13","AADAT"
"14","AAED1"
"15","AAGAB"
"16","AAK1"
"17","AAMDC"
"18","AANAT"
"19","AAR2"
"20","AARD"
"21","AARSD1"
"22","AASDH"
"23","AASS"
"24","AATK"
"25","ABAT"
"26","ABCA1"
"27","ABCA10"
"28","ABCA12"
"29","ABCA13"
"30","ABCA2"
"31","ABCA3"
"32","ABCA4"
"33","ABCA5"
"34","ABCA6"
"35","ABCA7"
"36","ABCA8"
"37","ABCA9"
"38","ABCB1"
"39","ABCB10"
"40","ABCB11"
"41","ABCB4"
"42","ABCB5"
"43","ABCB6"
"44","ABCB8"
"45","ABCB9"
"46","ABCC1"
"47","ABCC10"
"48","ABCC11"
"49","ABCC12"
"50","ABCC2"
"51","ABCC3"
"52","ABCC4"
"53","ABCC5"
"54","ABCC6"
"55","ABCC8"
"56","ABCC9"
"57","ABCD1"
"58","ABCD2"
"59","ABCD3"
"60","ABCD4"
"61","ABCF2"
"62","ABCF3"
"63","ABCG1"
"64","ABCG2"
"65","ABCG4"
"66","ABCG5"
"67","ABCG8"
"68","ABHD1"
"69","ABHD10"
"70","ABHD12"
"71","ABHD12B"
"72","ABHD13"
"73","ABHD14A"
"74","ABHD14B"
"75","ABHD15"
"76","ABHD16A"
"77","ABHD16B"
"78","ABHD17A"
"79","ABHD17B"
"80","ABHD17C"
"81","ABHD2"
"82","ABHD3"
"83","ABHD4"
"84","ABHD5"
"85","ABHD6"
"86","ABHD8"
"87","ABI1"
"88","ABI2"
"89","ABI3"
"90","ABI3BP"
"91","ABL1"
"92","ABL2"
"93","ABLIM1"
"94","ABLIM2"
"95","ABLIM3"
"96","ABP1"
"97","ABR"
"98","ABRA"
"99","ABRACL"
"100","ABTB1"
"101","AC004381.6"
"102","AC007405.2"
"103","AC007431.1"
"104","AC009365.3"
"105","AC021218.2"
"106","AC074389.6"
"107","AC079612.1"
"108","AC097381.1"
"109","AC106722.1"
"110","AC133919.6"
"111","ACAA1"
"112","ACAA2"
"113","ACAD10"
"114","ACAD11"
"115","ACAD8"
"116","ACADL"
"117","ACADM"
"118","ACADS"
"119","ACADSB"
"120","ACADVL"
"121","ACAN"
"122","ACAP1"
"123","ACAP2"
"124","ACAP3"
"125","ACAT1"
"126","ACAT2"
"127","ACBD3"
"128","ACBD4"
"129","ACBD5"
"130","ACBD6"
"131","ACBD7"
"132","ACCS"
"133","ACCSL"
"134","ACD"
"135","ACE"
"136","ACER1"
"137","ACER2"
"138","ACER3"
"139","ACHE"
"140","ACMSD"
"141","ACN9"
"142","ACO1"
"143","ACOT1"
"144","ACOT11"
"145","ACOT12"
"146","ACOT13"
"147","ACOT2"
"148","ACOT4"
"149","ACOT6"
"150","ACOT7"
"151","ACOT8"
"152","ACOT9"
"153","ACOX1"
"154","ACOX2"
"155","ACOX3"
"156","ACOXL"
"157","ACP1"
"158","ACP2"
"159","ACP5"
"160","ACP6"
"161","ACPL2"
"162","ACPP"
"163","ACPT"
"164","ACR"
"165","ACRBP"
"166","ACRC"
"167","ACRV1"
"168","ACSBG1"
"169","ACSF2"
"170","ACSF3"
"171","ACSL1"
"172","ACSL3"
"173","ACSL4"
"174","ACSL5"
"175","ACSL6"
"176","ACSM1"
"177","ACSM2A"
"178","ACSM2B"
"179","ACSM3"
"180","ACSM4"
"181","ACSM5"
"182","ACSS1"
"183","ACSS2"
"184","ACSS3"
"185","ACTA1"
"186","ACTA2"
"187","ACTBL2"
"188","ACTC1"
"189","ACTG1"
"190","ACTG2"
"191","ACTL10"
"192","ACTL6B"
"193","ACTL7A"
"194","ACTL7B"
"195","ACTL8"
"196","ACTL9"
"197","ACTN1"
"198","ACTN2"
"199","ACTN4"
"200","ACTR1B"
"201","ACTR3B"
"202","ACTR3C"
"203","ACTRT1"
"204","ACTRT2"
"205","ACTRT3"
"206","ACVR1"
"207","ACVR1B"
"208","ACVR1C"
"209","ACVR2B"
"210","ACVRL1"
"211","ACY1"
"212","ACY3"
"213","ACYP1"
"214","ACYP2"
"215","ADA"
"216","ADAD1"
"217","ADAD2"
"218","ADAL"
"219","ADAM10"
"220","ADAM11"
"221","ADAM12"
"222","ADAM15"
"223","ADAM17"
"224","ADAM18"
"225","ADAM19"
"226","ADAM2"
"227","ADAM20"
"228","ADAM22"
"229","ADAM23"
"230","ADAM28"
"231","ADAM29"
"232","ADAM30"
"233","ADAM32"
"234","ADAM33"
"235","ADAM7"
"236","ADAM8"
"237","ADAM9"
"238","ADAMDEC1"
"239","ADAMTS1"
"240","ADAMTS12"
"241","ADAMTS13"
"242","ADAMTS14"
"243","ADAMTS15"
"244","ADAMTS16"
"245","ADAMTS17"
"246","ADAMTS18"
"247","ADAMTS19"
"248","ADAMTS2"
"249","ADAMTS20"
"250","ADAMTS3"
"251","ADAMTS4"
"252","ADAMTS5"
"253","ADAMTS6"
"254","ADAMTS7"
"255","ADAMTS8"
"256","ADAMTS9"
"257","ADAMTSL1"
"258","ADAMTSL2"
"259","ADAMTSL3"
"260","ADAMTSL4"
"261","ADAMTSL5"
"262","ADAP1"
"263","ADAP2"
"264","ADARB1"
"265","ADARB2"
"266","ADAT1"
"267","ADC"
"268","ADCK1"
"269","ADCK2"
"270","ADCK3"
"271","ADCK4"
"272","ADCK5"
"273","ADCY1"
"274","ADCY10"
"275","ADCY2"
"276","ADCY3"
"277","ADCY4"
"278","ADCY5"
"279","ADCY6"
"280","ADCY8"
"281","ADCY9"
"282","ADCYAP1"
"283","ADCYAP1R1"
"284","ADD1"
"285","ADD2"
"286","ADD3"
"287","ADGB"
"288","ADH1A"
"289","ADH1B"
"290","ADH4"
"291","ADH5"
"292","ADH6"
"293","ADH7"
"294","ADHFE1"
"295","ADI1"
"296","ADIPOQ"
"297","ADIPOR2"
"298","ADIRF"
"299","ADK"
"300","ADM"
"301","ADM2"
"302","ADM5"
"303","ADNP"
"304","ADNP2"
"305","ADO"
"306","ADORA1"
"307","ADORA2A"
"308","ADORA2B"
"309","ADORA3"
"310","ADPGK"
"311","ADPRH"
"312","ADPRHL1"
"313","ADPRHL2"
"314","ADPRM"
"315","ADRA1A"
"316","ADRA1B"
"317","ADRA1D"
"318","ADRA2A"
"319","ADRA2B"
"320","ADRA2C"
"321","ADRB1"
"322","ADRB2"
"323","ADRB3"
"324","ADRBK1"
"325","ADRBK2"
"326","ADRM1"
"327","ADSSL1"
"328","ADTRP"
"329","AEBP1"
"330","AEN"
"331","AES"
"332","AFAP1L1"
"333","AFAP1L2"
"334","AFF2"
"335","AFM"
"336","AFMID"
"337","AFP"
"338","AFTPH"
"339","AGA"
"340","AGAP1"
"341","AGAP2"
"342","AGAP3"
"343","AGAP4"
"344","AGAP6"
"345","AGAP7"
"346","AGAP8"
"347","AGAP9"
"348","AGBL3"
"349","AGBL4"
"350","AGBL5"
"351","AGER"
"352","AGFG1"
"353","AGFG2"
"354","AGGF1"
"355","AGK"
"356","AGL"
"357","AGMAT"
"358","AGMO"
"359","AGO1"
"360","AGO2"
"361","AGO3"
"362","AGO4"
"363","AGPAT1"
"364","AGPAT2"
"365","AGPAT3"
"366","AGPAT4"
"367","AGPAT6"
"368","AGPAT9"
"369","AGPS"
"370","AGR2"
"371","AGR3"
"372","AGRN"
"373","AGRP"
"374","AGT"
"375","AGTPBP1"
"376","AGTR1"
"377","AGTR2"
"378","AGTRAP"
"379","AGXT"
"380","AGXT2"
"381","AGXT2L1"
"382","AGXT2L2"
"383","AHCYL1"
"384","AHCYL2"
"385","AHNAK"
"386","AHNAK2"
"387","AHR"
"388","AHRR"
"389","AHSA1"
"390","AHSA2"
"391","AHSG"
"392","AHSP"
"393","AICDA"
"394","AIDA"
"395","AIF1"
"396","AIF1L"
"397","AIFM2"
"398","AIFM3"
"399","AIG1"
"400","AIM1"
"401","AIM2"
"402","AIMP1"
"403","AIMP2"
"404","AIP"
"405","AIPL1"
"406","AIRE"
"407","AJAP1"
"408","AJUBA"
"409","AK1"
"410","AK3"
"411","AK4"
"412","AK5"
"413","AK7"
"414","AK8"
"415","AK9"
"416","AKAP1"
"417","AKAP11"
"418","AKAP12"
"419","AKAP13"
"420","AKAP14"
"421","AKAP17A"
"422","AKAP2"
"423","AKAP4"
"424","AKAP5"
"425","AKAP6"
"426","AKAP7"
"427","AKAP8"
