"","x"
"1","ABCB5"
"2","ACRV1"
"3","ADAM22"
"4","ADCYAP1"
"5","AGAP1"
"6","AKR7A2"
"7","ALDH3A2"
"8","ALDH5A1"
"9","ALPPL2"
"10","ANKEF1"
"11","ANKRD28"
"12","ANKRD45"
"13","APPBP2"
"14","ARHGAP28"
"15","ARHGAP36"
"16","ARNTL"
"17","ARTN"
"18","ASB5"
"19","ASB7"
"20","ASZ1"
"21","ATAD3B"
"22","ATP11C"
"23","ATP4B"
"24","B9D1"
"25","BDNF"
"26","BIK"
"27","BSPH1"
"28","BTN2A2"
"29","C11orf21"
"30","C11orf71"
"31","C12orf66"
"32","C12orf71"
"33","C14orf79"
"34","C18orf63"
"35","C18orf8"
"36","C1QL1"
"37","C1QL4"
"38","C2CD5"
"39","C5orf52"
"40","C6orf10"
"41","C7orf57"
"42","C9orf135"
"43","C9orf153"
"44","CACNB2"
"45","CACYBP"
"46","CALCA"
"47","CASP3"
"48","CASP4"
"49","CASP7"
"50","CASP8"
"51","CCBE1"
"52","CCDC126"
"53","CCDC15"
"54","CCDC150"
"55","CCDC152"
"56","CCDC172"
"57","CCDC90B"
"58","CCL20"
"59","CCL8"
"60","CCNJL"
"61","CCNY"
"62","CD300C"
"63","CD70"
"64","CD93"
"65","CDK17"
"66","CDK5"
"67","CDK8"
"68","CFH"
"69","CHAT"
"70","CHEK2"
"71","CLEC2D"
"72","CLEC4M"
"73","CMBL"
"74","CMC4"
"75","CNDP2"
"76","CNGA2"
"77","CNIH3"
"78","CNOT8"
"79","CNPY1"
"80","COBL"
"81","CRYGS"
"82","CSN3"
"83","CXCL10"
"84","CXCL13"
"85","CYB5R2"
"86","CYP2C9"
"87","CYP4F3"
"88","CYP51A1"
"89","DCX"
"90","DDIT4"
"91","DDIT4L"
"92","DEFB113"
"93","DEFB114"
"94","DEFB126"
"95","DEPDC1"
"96","DEPDC5"
"97","DHX32"
"98","DISP1"
"99","DNAJC15"
"100","DNASE1L2"
"101","DTNBP1"
"102","DTWD1"
"103","DYNAP"
"104","EDNRB"
"105","EHHADH"
"106","ELAVL1"
"107","ENTPD1"
"108","ENTPD3"
"109","EPB41"
"110","ESX1"
"111","ETV3L"
"112","EVA1C"
"113","F8"
"114","F9"
"115","FADD"
"116","FAM19A3"
"117","FAM19A5"
"118","FAM208A"
"119","FATE1"
"120","FFAR4"
"121","FGD6"
"122","FGF13"
"123","FN3K"
"124","FOSL1"
"125","FXYD4"
"126","GABRA6"
"127","GALNT11"
"128","GALR1"
"129","GAS2L3"
"130","GATM"
"131","GIMAP6"
"132","GLT8D2"
"133","GLYR1"
"134","GNAS"
"135","GPC1"
"136","GPC3"
"137","GPM6B"
"138","GPR174"
"139","GRTP1"
"140","GSTT1"
"141","GUCA2B"
"142","GULP1"
"143","GYG2"
"144","HFE"
"145","HIF1A"
"146","HIST1H1C"
"147","HIST1H1E"
"148","HIST1H2BA"
"149","HIST1H3J"
"150","HMGN4"
"151","HMSD"
"152","HPR"
"153","HSD17B11"
"154","IDUA"
"155","IFI27"
"156","IFIT5"
"157","IL12RB2"
"158","IL33"
"159","IRAK1BP1"
"160","ITM2C"
"161","JAGN1"
"162","JKAMP"
"163","KBTBD3"
"164","KCNA7"
"165","KCNK10"
"166","KCNMB1"
"167","KCNMB4"
"168","KHDRBS1"
"169","KLK15"
"170","KLK8"
"171","KLRD1"
"172","KLRF1"
"173","KRT38"
"174","KRTAP1-1"
"175","KRTAP11-1"
"176","KRTAP22-1"
"177","KRTAP22-2"
"178","LCORL"
"179","LDOC1"
"180","LRAT"
"181","LRRC26"
"182","LRRN1"
"183","LSMEM1"
"184","MAGEB18"
"185","MARK2"
"186","MC2R"
"187","MCTP2"
"188","MEGF10"
"189","MEST"
"190","MFAP3L"
"191","MFAP5"
"192","MID1IP1"
"193","MLANA"
"194","MLLT11"
"195","MOGAT1"
"196","MTERFD3"
"197","MURC"
"198","NAP1L3"
"199","NDST4"
"200","NECAP2"
"201","NETO1"
"202","NFATC1"
"203","NGFRAP1"
"204","NME8"
"205","NOS1AP"
"206","NPRL2"
"207","NR2C1"
"208","NRGN"
"209","NRN1"
"210","NXPH1"
"211","OPCML"
"212","ORMDL1"
"213","PACRG"
"214","PAFAH1B2"
"215","PANK4"
"216","PARD6B"
"217","PATE1"
"218","PAX1"
"219","PCDH11X"
"220","PCDH18"
"221","PCSK1N"
"222","PEX5L"
"223","PFN3"
"224","PHEX"
"225","PIH1D2"
"226","PLA2G2E"
"227","PLEKHA8"
"228","PLS3"
"229","POU2AF1"
"230","POU4F3"
"231","PPM1A"
"232","PPP1R17"
"233","PREP"
"234","PRF1"
"235","PTPN2"
"236","PXDC1"
"237","QPCT"
"238","R3HCC1L"
"239","RAB38"
"240","RAB3D"
"241","RAB9A"
"242","RBBP9"
"243","RBM24"
"244","RBP7"
"245","RGS21"
"246","RGS5"
"247","RIMKLA"
"248","RTP4"
"249","S100G"
"250","SCML1"
"251","SCML2"
"252","SCN4B"
"253","SDK1"
"254","SEMA6D"
"255","SERGEF"
"256","SERPINB8"
"257","SESN2"
"258","SETDB1"
"259","SH3BGRL"
"260","SIGLEC14"
"261","SLC26A1"
"262","SLC39A2"
"263","SLC7A1"
"264","SLCO1B7"
"265","SMCO3"
"266","SNX3"
"267","SOX1"
"268","SP100"
"269","SP140"
"270","SPACA1"
"271","SPATA4"
"272","SPEG"
"273","SPHKAP"
"274","SPINK14"
"275","SPRR3"
"276","SPTY2D1"
"277","SRD5A1"
"278","SSR1"
"279","SSR3"
"280","STARD3NL"
"281","STK33"
"282","STRC"
"283","SULT1A2"
"284","SUSD2"
"285","SYNJ2BP"
"286","SZT2"
"287","T"
"288","TAPBPL"
"289","TAS2R40"
"290","TBC1D7"
"291","TCF20"
"292","TEAD4"
"293","TECTB"
"294","TIAM1"
"295","TLR2"
"296","TMEM207"
"297","TMEM237"
"298","TMEM45B"
"299","TMEM47"
"300","TMX1"
"301","TMX3"
"302","TNFRSF18"
"303","TNFSF10"
"304","TNMD"
"305","TRIB2"
"306","TRIM62"
"307","TRMT2B"
"308","TSC2"
"309","UBE2F"
"310","UGT2B17"
"311","UPK3A"
"312","USP28"
"313","VAX2"
"314","VGLL4"
"315","VRK2"
"316","VWA5A"
"317","VWC2L"
"318","WBP2NL"
"319","WNT7B"
"320","WT1"
"321","ZBP1"
"322","ZFP42"
"323","ZMYND12"
"324","ZNF154"
"325","ZNF177"
"326","ZNF19"
"327","ZNF257"
"328","ZNF26"
"329","ZNF267"
"330","ZNF280C"
"331","ZNF280D"
"332","ZNF385D"
"333","ZNF420"
"334","ZNF468"
"335","ZNF540"
"336","ZNF547"
"337","ZNF562"
"338","ZNF600"
"339","ZNF649"
"340","ZNF662"
"341","ZNF669"
"342","ZNF670"
"343","ZNF695"
"344","ZNF808"
"345","ZNF846"
"346","ZNF853"
