"","Adipose Tissue","Adrenal Gland","Blood Vessel","Bladder","Brain","Breast","Blood","Skin","Cervix Uteri","Colon","Esophagus","Fallopian Tube","Heart","Kidney","Liver","Lung","Salivary Gland","Muscle","Nerve","Ovary","Pancreas","Pituitary","Prostate","Small Intestine","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina"
"AAMP",1.90528741662785e-90,7.37254532038067e-05,9.26620482517662e-34,2.43345806224903e-06,4.89863504786982e-181,2.37694368942054e-53,8.04871441669916e-162,7.82793359694576e-292,0.000262125168223025,7.68014420263259e-08,1.94394705027975e-11,0.00345176014135347,0,3.56286096782612e-07,2.76793669281403e-80,0.14506206550965,0.00104614447088451,1.93662371932663e-192,1.60635573650884e-148,1.05434886603389e-65,1.01995619586186e-191,2.20782295822154e-44,9.72911079565996e-25,0.11266204963355,0.0305950947647382,3.24290040719267e-25,6.02721302892699e-69,1.90406878371146e-131,1.00186031129838e-36,8.15405741197864e-20
"AASDHPPT",1.71829374908775e-33,0.000332066200599754,1.94975302640516e-77,0.357024942521588,6.64348441073956e-240,9.75995900863717e-08,4.39472820044817e-48,2.86456322279595e-07,0.120850605975681,5.83486508422618e-161,4.16551518041699e-159,0.0643636295817606,0,3.53882623815698e-10,4.97149650502414e-110,4.93432165499406e-62,3.21612420808076e-28,1.40653349489031e-52,1.8995780069824e-40,4.52758770818419e-28,1.41481031679753e-131,0.0132194162059049,1.16927814630001e-10,4.3482820222724e-44,2.03439693977687e-46,1.27044253095046e-146,1.44631556108399e-68,0.000881336264686259,2.20154700521146e-27,0.0113438641345429
"ACTL6A",1.20176082141095e-27,8.13521359041423e-05,7.10865811430215e-32,0.00238947257672658,0,3.68910892166174e-31,0.000618952888228398,2.00530872868197e-176,0.000100360752583067,1.2639245628323e-28,4.48007531152538e-21,0.00611788798774351,0,6.23599871478657e-09,3.67770143570009e-122,3.43406120747298e-08,3.84649047961714e-05,0,2.49051643083419e-136,1.74111467490787e-43,4.78432311305598e-164,1.70022341523847e-15,0.0621518052144033,0.000622341859189164,8.89586776800717e-20,1.77130485677167e-08,1.18042179546541e-119,2.43546748614116e-80,2.14438703799301e-39,2.10509796111021e-26
"AFG3L2",1.50892678484303e-12,0.0924486924392283,6.1744728189437e-155,0.000518539230529228,2.00200542883625e-266,1.05296665723161e-05,3.88841235636001e-25,1.41489651622626e-206,0.893622543025435,1.06459771838144e-08,0.487400906828116,0.792234625890662,1.24051714965683e-08,0.250001228968123,4.42524204178715e-38,8.74626366793569e-24,0.0933536340652206,2.42060041688943e-211,0.000189254857618117,0.0315928373379534,2.66381927817852e-149,1.17180128263233e-13,4.61916421407677e-15,3.12513626891772e-06,1.69403710282158e-60,0.0772516978159664,4.37744297514114e-10,1.90477944709548e-73,0.141633337138375,0.392390445884154
"AKIRIN2",1.73325598863756e-30,1.09471231131844e-11,0.988307523945173,0.308606494101284,4.92473451035474e-48,0.000740312843678847,4.98156524959586e-81,2.60417711106507e-38,0.530151954950082,1.26465104447787e-180,9.11846624003306e-31,0.0724280588845349,1.58207736364143e-269,1.29355230619405e-16,2.28835941619623e-101,1.41140791767766e-140,5.47419392382017e-06,3.30967113624113e-60,2.2103527223544e-84,1.89017773177754e-17,0,0.571786248789332,4.60801606332612e-20,4.46407209724347e-08,4.73138376185881e-87,9.13654774405873e-98,4.64980868716806e-57,4.25375937234907e-55,5.79980507464101e-07,0.00115139420051553
"ALDOA",5.55301517592024e-147,1.19633587888701e-57,0.00180436248991669,0.040399634442717,6.34904996177591e-155,1.11707974913747e-75,6.10149879922955e-21,8.50812531786608e-31,0.0619894218450546,1.03115535494012e-24,1.86019317814998e-40,0.000278729497229881,3.20324667788589e-19,2.64748154267753e-11,2.64976005571292e-315,5.28872478963592e-187,0.405750258958922,1.11078936402067e-217,3.19909364357167e-315,2.17319186216778e-35,0,2.47472903397568e-57,1.63823082423664e-25,2.84708602545634e-77,1.14931675563521e-144,6.77195505557712e-72,0,4.79580524229446e-106,1.10404265973289e-30,0.375098831366811
"ALG11",9.19245841818364e-52,1.83944980149187e-05,3.73702255979611e-40,0.000190905540972836,0,3.41217479233013e-24,9.80948771697484e-08,1.10163638133502e-94,0.0357490917926878,5.19925472486936e-05,6.25543048889803e-07,0.00043240649704912,6.71099154261233e-238,5.1068513259623e-10,1.88637301820823e-55,1.45843129574637e-22,2.6592572461128e-14,4.54255397340683e-270,1.30352425520004e-67,7.43329777634476e-19,2.12377304829141e-99,3.67109942079976e-16,1.00466694632658e-05,5.74809080630152e-11,0.000615164116008107,0.237726350230999,2.24287292325091e-48,5.32874986672139e-68,3.54392427445668e-19,0.00253096240303519
"ALG14",1.89419910871016e-35,3.02293281953485e-73,0.0658888672262628,0.615640710470968,0.212748058361167,1.93294525165231e-16,1.2301119601448e-206,2.24744094902229e-08,0.787169928140253,1.72033310060131e-06,2.1422688310342e-80,0.0204302214584489,0,2.38787010981028e-06,1.23383362701906e-07,4.33524536360915e-28,3.30980833843796e-12,0,4.81798414676814e-175,0.010834649962203,2.95733949821257e-17,4.29733414026698e-26,0.0753236745350323,0.0278613297183743,0.784298796115431,0.46211893736356,4.87668200215177e-109,9.00282091657799e-112,0.00089297700376486,0.00170594072711607
"ALG2",0.69627747466089,7.85723772032125e-64,2.10434752837894e-24,0.207613719021235,0,0.67658051549563,3.31841915155046e-14,2.83553297310776e-36,0.0182701560193519,2.65533827677522e-13,1.77220020220998e-36,0.00489741405696873,0,0.00197022743512708,1.92145479080068e-05,2.09180435301924e-96,2.3432721405933e-07,1.3715812257013e-195,0.0157849643620604,3.39229307014497e-36,1.64761101760261e-44,1.52601577959208e-78,7.97921151094336e-27,0.94821969764984,3.21420473995277e-26,0.00917300802820133,9.13070548223612e-63,2.99952122855203e-78,4.83639420102206e-25,0.412356630342054
"ALYREF",0.00324643570863828,1.58145841231764e-61,1.11203574214266e-36,0.00639195322490127,0,3.9877920656384e-08,9.53466673497627e-09,5.86815548459128e-122,0.0257805963928292,1.75840217368904e-09,4.47109042307785e-08,0.0812338633560525,1.1348979874565e-291,1.48089428715255e-11,3.56885125686777e-73,8.43213158700836e-37,1.16176844227534e-09,6.35441786810191e-176,5.86662910436152e-45,1.05789393160032e-09,7.33137418434266e-302,0.108271632218231,0.273463357889912,0.00769648025849011,2.14585445243804e-30,9.69486869225306e-32,3.63485148717696e-129,1.92544088702775e-31,1.8732758261941e-11,1.47584757335368e-10
