"","Adipose Tissue","Adrenal Gland","Blood Vessel","Bladder","Brain","Breast","Blood","Skin","Cervix Uteri","Colon","Esophagus","Fallopian Tube","Heart","Kidney","Liver","Lung","Salivary Gland","Muscle","Nerve","Ovary","Pancreas","Pituitary","Prostate","Small Intestine","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina"
"AAMP",3.63454712713348e-39,3.24205674721846e-14,2.2176620945602e-10,0.274527429406906,7.52487126038022e-64,7.61041794973222e-22,0.00121161128703736,0.0372605726186521,0.238052989871884,4.97664574492398e-156,2.91701150748602e-54,0.185859395194535,0.0518771071744588,0.00483673203815662,0.460020630122385,2.27368829199547e-26,5.37279300196062e-10,2.31342051912839e-47,0.313836378075875,2.58917245534444e-15,0.18345532397824,0.138362005852541,8.93208889733637e-06,0.430596364596169,0.0307719846002175,0.00898147800190836,9.77194654827779e-28,1.94625059130703e-14,0.00189945632016812,0.112291905047595
"AASDHPPT",2.98307515618487e-34,9.53878938324916e-36,6.84574772012724e-23,0.518899130850757,8.27177434152974e-263,0.101777278430461,1.27534336719195e-22,2.63989473661721e-09,0.0176840105660212,1.98557554066075e-44,5.02979685027228e-05,0.527990622994911,0.599510277063645,0.441383433287355,1.16006779141446e-24,1.94168928425557e-36,0.0455796776665177,0.000260438624767472,1.92476445427879e-10,1.83552186027042e-10,9.88741433133141e-11,0.00433653470122164,6.01796592328728e-18,0.644066032073443,9.79956355893722e-13,0.187728642318352,2.51356127585835e-25,0.0908652953770663,8.69584140841194e-15,0.000983383984305877
"ACTL6A",8.60304387150238e-05,3.34196117232257e-59,7.16417238729866e-11,0.00206328359402815,0,1.27918672401851e-10,1.2576877528378e-15,3.32230562372089e-51,0.160055035836369,2.94840598055954e-48,3.43342152556797e-36,0.108941230754069,1.87567888858424e-12,0.290072630561303,0.00825630259586744,2.31501096300172e-07,7.11573134741666e-10,9.09075816757844e-19,0.288421038591357,2.14159818908538e-14,2.88249261928374e-24,9.8549587283011e-18,1.4967150022987e-10,0.0100896842911304,1.01204491784078e-23,0.00293955431453711,2.72538065166898e-61,8.51890193332877e-10,4.52179511461241e-10,6.69801452972841e-15
"AFG3L2",2.87817809429571e-118,6.73019405311033e-15,4.39199471279796e-05,0.740094608498238,1.14218865397262e-102,0.62582651514009,1.67507997066187e-43,1.19101736579486e-28,0.591575182131019,0.00105930126448931,6.01358967900038e-25,0.602139285381011,0.0791788700339298,0.07411831246562,2.9878146023827e-20,2.09592710403654e-09,6.09702899257268e-05,0.973514739010247,2.3929337127881e-52,8.5386603525994e-15,0.853299855787751,0.000220939530684115,0.88995892591471,5.09466293764422e-11,1.2733181078895e-06,5.65554149044034e-09,0.327833820177657,4.63027183825614e-31,4.71191545747592e-09,5.44150371096378e-09
"AKIRIN2",6.89163605167808e-54,7.76411998052643e-30,1.81704353042274e-54,0.0550220392806611,8.72585717599812e-08,5.82216920658054e-25,1.88091505001721e-90,0.00166913910865587,0.988445138233164,3.10675893969955e-29,2.79286205760083e-28,0.585059957640649,2.88911500537094e-07,0.00347626575534376,0.935512472701979,0.244821204575135,0.621875541588489,1.79289793761197e-138,2.81724405616702e-74,2.50794012137381e-06,1.56208920391437e-08,0.000634186243119369,0.721363818401763,0.344454939599707,1.18126765925359e-38,1.68055196620746e-05,7.00138112859789e-15,3.37717302103151e-28,0.0594009983717172,0.0578241280127146
"ALDOA",0.153061151995628,5.05172901036902e-39,5.69826240094468e-16,0.963078248932178,1.10753498691583e-180,1.0600001137934e-16,0.00743190526516004,3.77875456263372e-23,0.52984763696446,3.69605871645351e-74,3.03216973900643e-23,0.142382544324052,8.65623293657588e-50,0.421791026476551,3.14039434115585e-13,0.195573895922028,7.06888701874089e-14,1.26707579479999e-15,0.000611896550663719,0.00899885158846382,5.60766591923358e-11,5.24758403284903e-05,0.0083657592553908,0.119076631848767,0.000200848678051027,3.86595789501462e-09,1.69695212775764e-34,1.61510125860028e-18,0.000528819942847559,0.0067627325237758
"ALG11",6.03329307190907e-19,1.43627668130187e-11,6.63405413410512e-54,0.0419936471414962,4.38643992642711e-312,0.0890126544878458,7.81208894658412e-37,1.39915806575938e-09,0.019490865001815,2.77288731585744e-18,1.05007010177542e-83,0.104960478014356,3.91197363317947e-16,0.0239824493137693,0.553428037566596,1.67345989491896e-20,1.88468741014528e-06,4.93617256958394e-68,1.7397122676637e-47,1.40766051709097e-20,9.33334659170406e-20,0.211832168906907,0.00244582534976421,2.13437284207446e-12,0.000406065044583131,5.67910158919531e-09,0.94353897373288,0.0102059630137129,1.10608607895266e-09,0.549140986297743
"ALG14",1.70632105935623e-19,2.73488390657922e-28,0.803722286135046,0.0347525210659599,1.68406922800621e-89,8.83922514000678e-07,1.94343889966708e-54,2.76306151240962e-17,0.00649681150548533,0.0526023345322255,3.33046318304544e-16,0.42649500086913,2.87542142156813e-44,0.000226431410719312,0.00259149268885125,1.09523974557563e-52,2.42546391269122e-19,2.31247156787643e-43,2.22414882315916e-34,7.04529908894823e-05,1.0539431208607e-10,1.31674424148526e-05,0.000522816131564862,0.428836013807924,1.13083654614869e-23,5.04413363936207e-08,1.60427635978183e-39,6.66744488476503e-16,4.43899511065495e-14,5.81865824446123e-31
"ALG2",1.42138503898265e-11,6.54917048940534e-24,6.29396807166784e-05,0.0341201768468727,2.96006621172758e-77,2.25766167936017e-14,2.46318194647584e-11,1.14741621219741e-30,0.00168582550818955,1.82953085311923e-24,2.5256887575994e-15,0.0936708359123914,1.27903357431495e-07,0.0202788801613101,2.36071516381934e-06,2.83920304865594e-06,3.27484577391651e-09,3.24196044098068e-24,0.000158983588704386,0.086242216422054,5.1295387291284e-45,1.17904284737823e-31,0.00016310625206933,1.566437836094e-05,3.00472196048502e-11,0.440853535109862,9.73073079590683e-56,3.15737256569669e-111,5.70611825952257e-20,1.07391847742994e-06
"ALYREF",4.62130277812612e-88,1.01167030234169e-09,1.72141833204508e-70,0.00367849717791621,0,3.75789143814337e-28,9.56750492356937e-21,4.10466660029376e-88,0.0418246412765458,0.00242510029563464,0.000620713626008395,0.594298296520582,5.35478762676678e-28,0.033738747622321,1.25469496302419e-27,0.0443743056232978,4.16964728896668e-08,1.55730244271498e-20,9.53179394968335e-73,0.00777492636759161,1.11115642834033e-11,1.05183954897672e-06,0.00033032380518959,0.211507498351136,0.0500130706817482,0.909271011566235,1.05411920630616e-97,2.84278715908962e-32,0.000127072132469879,3.36238972937081e-08
