"","Adipose Tissue","Adrenal Gland","Blood Vessel","Bladder","Brain","Breast","Blood","Skin","Cervix Uteri","Colon","Esophagus","Fallopian Tube","Heart","Kidney","Liver","Lung","Salivary Gland","Muscle","Nerve","Ovary","Pancreas","Pituitary","Prostate","Small Intestine","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina"
"ABCB5",1.29448466101137e-43,1.55403233438468e-179,1.1789966969395e-40,0.0688242478908213,4.40160176735706e-205,5.0037269920083e-17,3.27432807293506e-187,0.000807371980771088,0.351556000090475,0.000560862276335927,1.0404001677092e-123,0.0100093388412756,1.07900584349048e-182,1.88425022434972e-05,1.00451414776571e-198,1.93875864690846e-121,2.12233286590224e-86,3.7383277516781e-164,1.2620121882206e-06,1.60187435651963e-44,6.49237038231617e-199,1.95616469651023e-154,4.49042664613639e-49,3.18660631410849e-05,9.43715257765738e-175,6.06971813747829e-14,3.64325490976514e-07,2.84102011774465e-156,0.399841485189568,0.0337393933868694
"ACRV1",2.51345916175232e-55,1.33725531710908e-55,2.17126484470615e-53,4.96041469703833e-50,1.05349794744152e-31,2.26203410398313e-52,2.03969418615871e-48,1.07501342416767e-51,2.74858747595081e-53,4.42078324419036e-51,2.79453227086395e-53,1.22946197074428e-51,2.10299273812727e-56,1.00271632982993e-55,1.26147542847243e-55,1.15317312833167e-54,3.06199134964233e-55,1.12570553623206e-54,2.25571063169799e-53,1.14774386616215e-54,1.74844139462101e-56,1.12457290359586e-49,4.82441971996561e-48,6.31941984155364e-52,3.38883881518686e-53,2.86070519041761e-54,3.66573177554428e-101,1.92009417123851e-54,2.6728815086919e-51,2.12320683010429e-53
"ADAM22",2.69627900219715e-67,5.69063737558549e-08,9.04116882202452e-102,0.0685562522340389,6.4188498335832e-153,2.91331727997752e-74,1.32481088180267e-64,3.06782454794059e-213,0.941808880872836,1.49456295068158e-154,8.25682394943519e-228,0.220400383531797,1.43587984178298e-253,2.1697518145616e-10,2.31243573904842e-302,2.16609947710745e-142,4.94464841606634e-194,7.72293935545162e-270,2.23095023831522e-49,0.0167954334246386,7.13608931288192e-267,0.00790968323008777,1.39903514185578e-07,1.65634162776407e-117,1.79211048116985e-138,1.0215392654292e-221,8.94008522145526e-165,0.765958513884706,0.0195656898044587,0.90120751299283
"ADCYAP1",0.001657219160593,3.24381185443405e-96,0.00614321637567327,0.31137481250214,3.04793757621371e-40,0.600963948507031,0,8.44166778151141e-52,7.58464586467309e-06,0.61451453415372,0.0806493087269813,0.00450264671193403,9.62823753510394e-249,7.80111790958889e-30,1.03096758127601e-288,0.386295924705834,0.764137691416759,3.17029988761728e-254,0.623893958530841,5.21232659534039e-22,1.43197356488336e-08,0.00130324093999838,0.488843363764055,0.00653148881392212,1.12142560747711e-275,0.000116860436091519,1.61691207314579e-16,4.38689794130636e-104,0.639066066684058,0.922557385549544
"AGAP1",1.68463532387959e-82,3.1469392897606e-232,2.69740563431453e-143,0.691735357586594,0,6.02732080289975e-21,0,1.00484036786929e-252,0.111661878279778,9.70562831993237e-67,1.01379694456518e-25,0.0645476109977369,0,3.29888625567809e-16,0,8.15846307737542e-12,1.39601087577084e-41,0,5.08647656937837e-113,8.83520472653883e-67,0,9.33436211141422e-05,3.7742142108831e-43,0.874134375246375,1.1388629969993e-201,6.15845462357291e-17,1.87598005502251e-10,8.20239063016734e-126,0.0143662089232685,1.10188174792081e-46
"AKR7A2",0.000109050717867062,1.6895949996606e-61,6.83604668714489e-07,0.0641180670463333,0,4.50038069773507e-11,1.09445511535595e-69,4.59395518950278e-97,0.000864490564536462,4.01802163905841e-23,7.53861696027921e-18,0.0854209045756166,8.15548040492348e-309,6.03989799936502e-05,1.90703646699543e-16,2.37553620823912e-05,4.28372440394642e-08,2.51477425534146e-102,7.06203480380157e-35,8.84045784308052e-47,7.08242573629583e-92,1.09076688078412e-16,7.80499325204873e-08,9.35438928921671e-14,0.0074788144081067,0.127261898754386,5.01602430118222e-81,5.43382899420552e-28,8.09375731618515e-26,2.41411780711179e-19
"ALDH3A2",9.60667218550338e-28,8.80962522998071e-83,0.745869219279301,0.0195958164440911,0,1.74922700133811e-57,0,3.48996170317167e-161,0.0291951797409423,1.65273767594532e-67,8.56234025854387e-51,0.044133223256337,0,5.96671175388743e-10,0.000291096628869388,1.4553789598464e-10,1.08842620221223e-13,2.76012145626727e-67,0.0355849714061759,1.16139822585044e-05,5.48600529377576e-118,1.14438483817971e-13,1.16893761824501e-21,1.28059728073434e-26,1.05677916177025e-202,4.68637842377842e-54,9.63106841952212e-58,4.7112216340826e-73,8.50217772738133e-13,1.89277121142445e-14
"ALDH5A1",5.56068690638427e-214,2.25040371656586e-22,0,0.191603271157301,0,1.69755898552529e-113,1.4955302120803e-60,9.61681392164689e-132,0.528666724879309,0,0,0.653404196588563,6.62476745171705e-156,1.98198199173215e-05,1.99281534359247e-42,5.1531353424616e-182,5.59279036939028e-72,1.15138117912548e-24,0.0531923897668607,0.269647313198814,0,0.763023813587309,2.92876725821121e-08,2.69744336874966e-22,6.3372610727328e-28,1.43923441670061e-277,1.3040631879047e-19,2.55748727419822e-27,2.94276932233962e-13,1.77687726531381e-07
"ALPPL2",6.3575013599903e-73,7.12023206602057e-75,3.92077850374133e-69,0.00156640534562729,1.80098916267207e-69,1.27882911563076e-74,1.85986469746729e-53,2.19405329898007e-73,0.777030184286147,0.00194968831480126,1.34893259302534e-72,0.179759648626549,7.32729260068182e-81,0.00698187199084373,1.66630913639534e-60,2.95645018748329e-22,8.27877836628985e-19,2.3854956978453e-77,7.76770464924269e-63,8.76585003016094e-13,3.1124933743502e-76,1.4588879361658e-61,8.42402308214432e-29,1.12385535484533e-06,9.13631665487628e-70,5.40220431050333e-49,1.82171543543705e-79,1.26827921358723e-46,0.554104025345142,2.5980920315679e-35
"ANKEF1",0.000987497209519915,2.67600003326389e-11,9.16015805209471e-196,0.0491392689120264,1.22651109786308e-164,0.0820353063121824,8.28795886982072e-184,3.06669738068968e-10,0.0738035132937549,1.07480566346142e-68,3.263328561353e-11,0.868134957381128,1.59262423583655e-253,3.62041686465662e-11,1.69868516031657e-11,2.37457335723143e-09,3.52369812945802e-13,1.05596328195821e-240,2.17173484219981e-163,0.151281692204248,2.66827285250524e-43,2.04030815835356e-37,1.59483376651032e-08,0.505868948756974,1.23822700065321e-62,0.90388063791374,6.51872844583818e-97,4.16802830754539e-64,1.14925783992755e-90,0.889864508550322
"ANKRD28",3.37270240541525e-13,2.51651002161412e-71,0.471792465605728,0.0241819270411378,0.0199321538642479,2.17022983660379e-12,6.75058892107715e-53,7.705950305568e-73,0.0691744834402742,5.75410704822315e-19,2.03205087759132e-239,0.321687944051339,0,6.20712194360805e-18,2.19288903867742e-197,9.42778261087334e-06,4.66054289410979e-12,1.60089635473234e-34,1.80878655348219e-86,3.96370881504347e-23,8.9135055319002e-178,1.20697895927039e-93,4.06939042979091e-23,7.95002820337256e-46,3.61357102595431e-60,9.41604221206519e-122,6.60766511350537e-106,1.97180862023418e-30,0.0096724127743992,2.04739222853329e-05
