"","Adipose Tissue","Adrenal Gland","Blood Vessel","Bladder","Brain","Breast","Blood","Skin","Cervix Uteri","Colon","Esophagus","Fallopian Tube","Heart","Kidney","Liver","Lung","Salivary Gland","Muscle","Nerve","Ovary","Pancreas","Pituitary","Prostate","Small Intestine","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina"
"ABCB5",6.62202981267119e-50,3.14685386436916e-197,4.72686179157831e-34,0.481373086624604,2.07822553476886e-210,1.24395496994111e-18,1.32649575835789e-195,3.97574605502161e-09,0.296995463533742,2.39301362053742e-08,5.42363512809775e-106,0.0975293402711382,3.45051344522609e-195,1.67378843061248e-08,5.31539655598082e-200,6.226199875215e-99,4.43273416582907e-57,4.84598341913619e-169,2.08174295383271e-11,6.07811495979804e-55,9.18034019502371e-198,1.01280067674424e-189,9.2565027599174e-34,0.316171833293998,1.53448066424662e-165,4.09789118399958e-10,3.68768400983992e-31,5.82722166097657e-147,0.672871394480967,0.00117318373493292
"ACRV1",1.89240522885774e-55,1.053536490338e-55,5.74856939828914e-53,1.88177376415552e-48,1.38002834373347e-27,1.45136212554249e-52,1.98533532963921e-51,4.74626966298416e-51,3.14466359188516e-52,7.27110639337206e-50,1.21016359777329e-52,5.32623650288784e-50,1.30117740208493e-56,1.60283348157937e-55,4.45671433031169e-56,9.23478101601807e-55,2.11379480167759e-55,5.17581548662453e-56,3.57369824767391e-53,3.97151058191627e-55,1.01939086366787e-56,4.80726670890683e-48,2.54493476401043e-46,8.0179780936582e-51,1.48380654708435e-52,4.53990109721971e-54,3.37577387803497e-101,8.07870684911377e-55,1.81124062713106e-50,5.19003252927622e-53
"ADAM22",2.78528595011946e-67,5.63118239378408e-08,9.35561530853773e-102,0.0686172004488956,6.38660838147769e-153,3.00577457228189e-74,1.36174035407121e-64,3.14031139961657e-213,0.942341321248669,1.54114990029825e-154,8.43160947745787e-228,0.220573416520701,1.45920176706384e-253,2.18018437955527e-10,1.98894848132721e-302,2.23693354996463e-142,5.08916123612908e-194,7.82632086305486e-270,2.29823421120696e-49,0.0168632512466419,7.23392402792955e-267,0.00785283934568989,1.39133298929617e-07,1.71318313617497e-117,1.85238962360363e-138,1.0458906248422e-221,9.20713926492098e-165,0.768092879293526,0.0194871412947777,0.900449843241561
"ADCYAP1",9.25848429694457e-05,1.81482985268609e-91,0.0494770082139056,0.250630174231966,4.1726315874359e-44,0.780890709473643,0,1.59207869773311e-75,2.42779551801878e-05,0.372404996036527,0.00723048556045167,0.00873111556806364,2.15513504020069e-239,2.5501123784044e-27,4.90983370615018e-300,0.166880023896874,0.655583634693017,9.78133936235743e-269,0.955273230485046,3.48865387721372e-36,5.83908883310721e-05,0.000842225094002463,0.713251071601564,0.0375468928721518,3.80718860791336e-266,0.00230298965336994,1.0097590032786e-18,1.22770479479754e-103,0.363831628770877,0.716155308371782
"AGAP1",1.90060864213153e-82,3.43235492863463e-232,3.14171283334368e-143,0.692163836928961,0,6.25774056489038e-21,0,1.2868151871782e-252,0.111803536286808,9.42610991724443e-67,9.77881831448992e-26,0.0646362006963644,0,3.32193437298282e-16,0,8.47308874930631e-12,1.42464240088677e-41,0,4.90133925138259e-113,9.20543924502133e-67,0,9.23189381018516e-05,3.89609378266828e-43,0.875864324275215,1.20417256088257e-201,6.33213092205979e-17,1.93938924148201e-10,9.42466890148895e-126,0.0144837795734384,1.1261995991183e-46
"AKR7A2",0.000109050717867062,1.6895949996606e-61,6.83604668714489e-07,0.0641180670463333,0,4.50038069773507e-11,1.09445511535595e-69,4.59395518950278e-97,0.000864490564536462,4.01802163905841e-23,7.53861696027921e-18,0.0854209045756166,8.15548040492348e-309,6.03989799936502e-05,1.90703646699543e-16,2.37553620823912e-05,4.28372440394642e-08,2.51477425534146e-102,7.06203480380157e-35,8.84045784308052e-47,7.08242573629583e-92,1.09076688078412e-16,7.80499325204873e-08,9.35438928921671e-14,0.0074788144081067,0.127261898754386,5.01602430118222e-81,5.43382899420552e-28,8.09375731618515e-26,2.41411780711179e-19
"ALDH3A2",9.60667218550338e-28,8.80962522998071e-83,0.745869219279301,0.0195958164440911,0,1.74922700133811e-57,0,3.48996170317167e-161,0.0291951797409423,1.65273767594532e-67,8.56234025854387e-51,0.044133223256337,0,5.96671175388743e-10,0.000291096628869388,1.4553789598464e-10,1.08842620221223e-13,2.76012145626727e-67,0.0355849714061759,1.16139822585044e-05,5.48600529377576e-118,1.14438483817971e-13,1.16893761824501e-21,1.28059728073434e-26,1.05677916177025e-202,4.68637842377842e-54,9.63106841952212e-58,4.7112216340826e-73,8.50217772738133e-13,1.89277121142445e-14
"ALDH5A1",5.56068690638427e-214,2.25040371656586e-22,0,0.191603271157301,0,1.69755898552529e-113,1.4955302120803e-60,9.61681392164689e-132,0.528666724879309,0,0,0.653404196588563,6.62476745171705e-156,1.98198199173215e-05,1.99281534359247e-42,5.1531353424616e-182,5.59279036939028e-72,1.15138117912548e-24,0.0531923897668607,0.269647313198814,0,0.763023813587309,2.92876725821121e-08,2.69744336874966e-22,6.3372610727328e-28,1.43923441670061e-277,1.3040631879047e-19,2.55748727419822e-27,2.94276932233962e-13,1.77687726531381e-07
"ALPPL2",1.57439221192426e-78,5.03098026231618e-79,3.90434390148758e-77,0.000372094133412258,1.48721496131915e-60,3.61991656498632e-75,1.0704683820945e-53,1.01821646729342e-78,0.0986551874655008,1.21347661122313e-07,3.42256599790854e-79,0.134913809010995,7.13203722617571e-85,1.35197923465962e-09,9.42704759159343e-80,4.18047151320742e-31,4.19923509114835e-74,7.21165169820572e-82,8.28111609705068e-78,0.0364281549691429,7.53527934114466e-66,2.809860363214e-64,3.68294610685037e-12,0.056182458411765,4.70537467326325e-60,1.98112763645464e-74,3.35749904603344e-100,1.66072071272303e-09,0.466166037236331,4.16938014995333e-09
"ANKEF1",0.000906366203501034,3.00869947525247e-11,1.27415932111469e-195,0.0495575456510195,1.34739201009423e-164,0.0787560107837548,3.48723694273849e-186,3.5807120666565e-10,0.0742971927765192,1.43691034888498e-68,3.74906058721883e-11,0.866675079296509,2.09600368159318e-253,3.81841804021118e-11,1.87820134492572e-11,2.67662093660435e-09,3.26056447046213e-13,1.40894800497455e-240,3.06638733816731e-163,0.156334301427879,2.29742923886799e-43,1.72910034440536e-37,1.75874704946843e-08,0.496403739392865,1.64782514646277e-62,0.890412465857799,6.47373762075258e-97,3.09263442528539e-64,1.52311446671026e-90,0.899643148576094
