"","Adipose Tissue","Adrenal Gland","Blood Vessel","Bladder","Brain","Breast","Blood","Skin","Cervix Uteri","Colon","Esophagus","Fallopian Tube","Heart","Kidney","Liver","Lung","Salivary Gland","Muscle","Nerve","Ovary","Pancreas","Pituitary","Prostate","Small Intestine","Spleen","Stomach","Testis","Thyroid","Uterus","Vagina"
"ABCB5",9.64330700539013e-05,0.431515551522387,0.0398543128584069,0.0866235251626552,3.63909524350674e-59,0.0147689228144702,0.443968711639126,1.64123246765337e-09,0.470892097251704,3.84557633169411e-27,1.16112042367045e-09,0.0956309682391957,8.46349559002576e-07,0.86110607087278,7.19375055557072e-07,0.248635734837413,1.50183113100438e-12,0.00528975675247115,1.84562221179562e-15,0.0755115663563061,2.86644684827305e-08,0.130425886281869,0.000598056091127302,0.00134432630116556,9.89291820039275e-06,0.161031799717006,1.13334714636154e-45,7.21050521322224e-10,0.058912198487265,0.0026213801713337
"ACRV1",8.62008066527753e-273,0.400213530043701,7.98245364295901e-11,0.00692301982587807,3.10009913504248e-43,4.87685435808999e-66,6.50498977426442e-06,0,0.000502352190118203,2.34884341659977e-22,3.93494591610549e-37,0.0700945355052451,3.78344150721191e-06,0.0124282973321756,3.32253267458912e-24,6.2578884338587e-11,2.01807947574763e-05,3.68607091340434e-141,7.10745817819024e-151,0.00216033676020845,5.81436120579038e-07,3.83245683535774e-13,3.63740428895967e-29,0.148523192428583,8.0421460179359e-12,0.218300850052759,1.89165903634011e-69,7.99026795365601e-60,2.48128949866372e-14,1.42624858682451e-10
"ADAM22",2.90066629187138e-17,4.44281980152736e-32,3.10092849267091e-10,0.0690579680512925,2.23812428293894e-70,0.0155232081355909,1.73830786794005e-11,7.05199567364739e-64,0.000219608382360157,0.00020070143191458,1.02847960745032e-141,0.0589536791916561,2.66707390415982e-36,0.571572506846674,2.4273182847337e-07,2.33997993888104e-12,6.23692813119538e-09,6.76552322787704e-41,5.21232125384261e-22,0.00472196792866309,0.000192484380120491,2.26173205280797e-55,0.000884562955416807,1.27461055829463e-14,0.0042948148438617,1.12150710336566e-05,2.56756708268424e-06,3.07053563000218e-83,7.51816693100756e-14,0.617008591188872
"ADCYAP1",2.32628726131646e-05,1.4080136191271e-05,0.267221545603445,0.0297193762580724,3.34186522365653e-30,0.0537969700661668,0.868277712777871,4.11984753212976e-29,0.0272434675902757,3.66197694528782e-16,8.72259163364192e-20,0.0621208950641771,4.13461049279371e-06,0.00016126949354847,1.74881268283656e-06,0.00480268250198821,0.0669243395295985,4.14421790500786e-20,0.000230332813833618,0.00270623343995478,1.16908450007597e-22,0.615530361421413,0.927616700501086,0.655097994794978,1.19492045823367e-10,0.831922505566208,8.55534366709611e-17,0.0182756785117522,0.0413730347944701,0.000287673909189675
"AGAP1",0.267157617429688,6.426932145875e-32,5.56003892577155e-45,0.216977357540899,4.2431459433554e-15,0.385019321139586,4.46809883269318e-169,2.87198738027687e-52,0.051945133270327,6.02174983926979e-24,2.9564529501998e-05,0.934862554360005,7.63295999235152e-20,0.0252439686804042,0.000459361229336867,0.467086342354007,7.01086542881464e-07,2.89535280920222e-24,9.19322785214877e-30,0.0212615169953016,4.70278118555004e-29,1.69220613853313e-11,4.23412560811059e-12,0.642397040669563,0.200009401583216,0.039834857969091,0.0172659250838046,1.10843852694834e-15,3.0994994702878e-08,0.22580693525627
"AKR7A2",6.82807834143143e-37,8.46921821447691e-10,2.16824494035641e-12,0.680040913607429,9.19875078208774e-114,0.0013537825480691,5.59263532644538e-36,4.06560900482707e-15,0.895297092398572,0.291202093617251,0.000390268620794802,0.655087281022836,0.223356515598188,0.197979313572168,0.255063571242596,6.66835064366516e-55,2.96883300170838e-10,8.48090269635745e-27,4.18775311555407e-61,2.91769778234404e-09,0.1177674067435,1.28319060995733e-16,7.94200558745815e-11,0.000286829423027715,0.302558962261158,0.618636654938254,2.04098495710137e-31,3.23200800031317e-32,7.54266317746916e-17,0.0987299256770248
"ALDH3A2",1.89248172953214e-08,4.72314974605014e-20,4.18282530418411e-172,0.0785568637724023,0.446397251196896,4.18831182591769e-33,6.52290466525234e-06,6.00627762427974e-08,0.00997729096254787,0.000476499026425691,4.14080250007997e-59,0.0244246183987812,6.02846410971517e-22,0.0204068461783875,2.16944961253852e-05,0.0136585968605667,0.0182347063313842,2.00799283910616e-73,7.29958059366782e-81,0.217095426919041,6.163910466262e-09,3.60866150421922e-11,2.40725421990475e-08,0.0155152017272616,2.86692977160853e-18,0.887254064762369,0.465333634821907,1.45958556578796e-23,3.01528982044333e-25,0.0199726595521734
"ALDH5A1",1.26059474167422e-18,7.15934419768249e-40,4.46305392344405e-56,0.197778886310965,4.03854865279103e-07,5.27706810458945e-11,3.18712269198735e-63,1.73221667698888e-05,0.42880829047232,3.54972882355717e-24,7.07916833788869e-77,0.994287013322117,1.21636226040421e-11,0.177847953166304,1.24482000199196e-12,6.47103402305826e-14,0.0401460917608971,3.16147542964008e-07,0.0190728487560777,1.80240057527013e-08,6.44680271829329e-09,0.00193930454427348,0.0463474692257828,0.0305355998979855,0.00351416723856277,1.38921595632437e-18,0.0127505849405713,2.44648467430131e-28,0.00339105656734503,0.000504012558339134
"ALPPL2",3.04715659005581e-06,0.000329819517491749,0.0178243933408271,0.22086715301168,0.142485069492945,1.07066664370338e-08,0.309895665454374,0.0168978867331542,0.403262979775599,4.87568532945362e-18,0.141301053439031,0.486274165686931,2.6001467982469e-06,0.668216558199437,0.0169187818086486,4.6233569807519e-130,0.263137464641644,0.051277744011885,0.0313596407910813,0.0888563590261169,0.000104098856899554,5.44273502528447e-05,0.676752920102763,1.44275997598948e-09,1.82621330094557e-10,0.119952163197452,2.44295979275168e-48,7.55905791215156e-23,8.26572042120889e-06,0.0135176064779935
"ANKEF1",0.886614270205955,2.33712237667947e-13,3.12927830532898e-110,0.0453339792621979,6.30106659181948e-123,0.110505462186676,1.83406131743885e-80,2.16176296311364e-05,0.163647712038563,0.00031179921342281,1.19712664432968e-14,0.583234891367996,1.30346422387063e-05,0.0296937230356257,0.133358648866193,5.21051030201262e-06,3.12576666692391e-19,0.692611623922387,0.0314398350322727,6.33833120632214e-18,1.62898672483121e-14,8.18139359396481e-51,1.06740039000367e-11,3.2182753074601e-15,5.39201776516384e-23,4.02621327386305e-15,1.95111282143949e-24,7.32958664881903e-26,5.74344430675192e-10,4.03498410794033e-14
