MGI Gene/Marker ID,Symbol,Name,Chr,Qualifier,Annotated Term,Context,Proteoform,Evidence,Inferred From,Reference(s)
MGI:1913382,1110008L16Rik,RIKEN cDNA 1110008L16 gene,12,,mitochondrial tRNA 5'-end processing,,,ISO,O15091 ,J:164563 
MGI:1913382,1110008L16Rik,RIKEN cDNA 1110008L16 gene,12,,tRNA 5'-leader removal,,,IBA,PTN001005190 ,J:161428 
MGI:1913382,1110008L16Rik,RIKEN cDNA 1110008L16 gene,12,,tRNA processing,,,IEA,KW-0819 ,J:60000 
MGI:1913382,1110008L16Rik,RIKEN cDNA 1110008L16 gene,12,,tRNA processing,,,IEA,IPR033495 ,J:72247 
MGI:1923919,1700128F08Rik,RIKEN cDNA 1700128F08 gene,9,,"mRNA splicing, via spliceosome",,,IBA,PTN000359236 ,J:161428 
MGI:1917403,2210016F16Rik,RIKEN cDNA 2210016F16 gene,13,,tRNA modification,,,IBA,PTN000481021 ,J:161428 
MGI:1921450,2810403A07Rik,RIKEN cDNA 2810403A07 gene,3,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1921450,2810403A07Rik,RIKEN cDNA 2810403A07 gene,3,,mRNA splice site selection,,,ISO,Q7Z7F0 ,J:164563 
MGI:1921450,2810403A07Rik,RIKEN cDNA 2810403A07 gene,3,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2442328,6430573F11Rik,RIKEN cDNA 6430573F11 gene,8,,tRNA processing,,,IEA,KW-0819 ,J:60000 
MGI:2442328,6430573F11Rik,RIKEN cDNA 6430573F11 gene,8,,tRNA wobble uridine modification,,,IBA,PTN000317053 ,J:161428 
MGI:1917115,A1cf,APOBEC1 complementation factor,19,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1915545,Aar2,AAR2 splicing factor homolog,2,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1915545,Aar2,AAR2 splicing factor homolog,2,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:1915545,Aar2,AAR2 splicing factor homolog,2,,spliceosomal tri-snRNP complex assembly,,,IBA,PTN000294070 ,J:161428 
MGI:2384560,Aars,alanyl-tRNA synthetase,8,,tRNA modification,,,IMP,,J:110647 
MGI:2681839,Aars2,"alanyl-tRNA synthetase 2, mitochondrial",17,,tRNA modification,,,IBA,PTN000206950 ,J:161428 
MGI:1353636,Abt1,activator of basal transcription 1,13,,"endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IBA,PTN000267771 ,J:161428 
MGI:1353636,Abt1,activator of basal transcription 1,13,,"endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IBA,PTN000267771 ,J:161428 
MGI:1353636,Abt1,activator of basal transcription 1,13,,"endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)",,,IBA,PTN000267771 ,J:161428 
MGI:1891824,Acin1,apoptotic chromatin condensation inducer 1,14,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1891824,Acin1,apoptotic chromatin condensation inducer 1,14,,"negative regulation of mRNA splicing, via spliceosome",,,ISO,Q9UKV3 ,J:164563 
MGI:1891824,Acin1,apoptotic chromatin condensation inducer 1,14,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:103258,Adad1,adenosine deaminase domain containing 1 (testis specific),3,,RNA processing,,,IEA,IPR002466 ,J:72247 
MGI:1923023,Adad2,adenosine deaminase domain containing 2,8,,RNA processing,,,IEA,IPR002466 ,J:72247 
MGI:102518,Adam3,a disintegrin and metallopeptidase domain 3 (cyritestin),8,,regulation of mRNA processing,,,IMP,MGI:2156167 ,J:149644 
MGI:1889575,Adar,"adenosine deaminase, RNA-specific",3,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1889575,Adar,"adenosine deaminase, RNA-specific",3,,pre-miRNA processing,,,ISO,P55265 ,J:73065 
MGI:1889575,Adar,"adenosine deaminase, RNA-specific",3,,production of miRNAs involved in gene silencing by miRNA,,,IMP,MGI:3032487 ,J:197985 
MGI:1889575,Adar,"adenosine deaminase, RNA-specific",3,,RNA processing,,,IEA,IPR002466 ,J:72247 
MGI:891999,Adarb1,"adenosine deaminase, RNA-specific, B1",10,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:891999,Adarb1,"adenosine deaminase, RNA-specific, B1",10,,positive regulation of mRNA processing,,,ISO,RGD:2033 ,J:155856 
MGI:891999,Adarb1,"adenosine deaminase, RNA-specific, B1",10,,RNA processing,,,ISO,P78563 ,J:164563 
MGI:891999,Adarb1,"adenosine deaminase, RNA-specific, B1",10,,RNA processing,,,ISS,P78563-1 ,J:113958 
MGI:2151118,Adarb2,"adenosine deaminase, RNA-specific, B2",13,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:2151118,Adarb2,"adenosine deaminase, RNA-specific, B2",13,,RNA processing,,,IEA,IPR002466 ,J:72247 
MGI:1353631,Adat1,"adenosine deaminase, tRNA-specific 1",8,,RNA processing,,,IEA,IPR002466 ,J:72247 
MGI:1353631,Adat1,"adenosine deaminase, tRNA-specific 1",8,,tRNA processing,,,ISO,Q9BUB4 ,J:164563 
MGI:1914007,Adat2,"adenosine deaminase, tRNA-specific 2",10,,tRNA modification,,,IBA,PTN000118391 ,J:161428 
MGI:1914007,Adat2,"adenosine deaminase, tRNA-specific 2",10,,tRNA processing,,,IEA,KW-0819 ,J:60000 
MGI:1914007,Adat2,"adenosine deaminase, tRNA-specific 2",10,,tRNA wobble adenosine to inosine editing,,,IEA,IPR028883 ,J:72247 
MGI:1924344,Adat3,"adenosine deaminase, tRNA-specific 3",10,,tRNA processing,,,IEA,KW-0819 ,J:60000 
MGI:1202294,Aff2,"AF4/FMR2 family, member 2",X,,mRNA processing,,,IEA,KW-0507 ,J:60000 
MGI:1202294,Aff2,"AF4/FMR2 family, member 2",X,,regulation of RNA splicing,,,IDA,,J:157426 
MGI:1202294,Aff2,"AF4/FMR2 family, member 2",X,,RNA splicing,,,IEA,KW-0508 ,J:60000 
MGI:2446630,Ago1,argonaute RISC catalytic subunit 1,4,,pre-miRNA processing,,,ISO,Q9UL18 ,J:164563 
MGI:2446630,Ago1,argonaute RISC catalytic subunit 1,4,,production of miRNAs involved in gene silencing by miRNA,,,ISO,Q9UL18 ,J:164563 
MGI:2446632,Ago2,argonaute RISC catalytic subunit 2,15,,pre-miRNA processing,,,IDA,,J:217997 
MGI:2446632,Ago2,argonaute RISC catalytic subunit 2,15,,pre-miRNA processing,,,ISO,Q9UKV8 ,J:164563 
